fighter_name,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,classification
Ericka Almeida,"5' 6""",115 lbs.,,Orthodox,"Mar 05, 1989",1.07,39%,3.33,43%,0.50,33%,37%,0.0,striker
Sarah Alpar,"5' 4""",135 lbs.,"63""",Southpaw,"Jun 01, 1991",2.11,54%,4.76,32%,2.69,28%,50%,0.7,grappler
Ali AlQaisi,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 23, 1990",2.43,42%,1.97,56%,3.50,29%,60%,1.0,submission specialist
Jaime Alvarez,"5' 8""",125 lbs.,"69""",Orthodox,"Mar 08, 1988",2.73,40%,4.53,56%,1.00,33%,50%,0.0,striker
Eddie Alvarez,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984",4.32,41%,4.39,55%,2.92,36%,92%,0.5,striker
Thiago Alves,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 03, 1983",3.73,41%,3.42,62%,0.71,60%,63%,0.3,striker
Warlley Alves,"5' 11""",170 lbs.,"72""",Orthodox,"Jan 04, 1991",3.09,47%,3.62,50%,1.48,54%,75%,1.0,submission specialist
Adlan Amagov,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986",3.29,47%,0.82,78%,5.84,56%,100%,0.0,grappler
Sam Alvey,"6' 2""",205 lbs.,"75""",Southpaw,"May 06, 1986",3.17,44%,3.26,55%,0.08,16%,82%,0.1,striker
Jimmy Ambriz,"6' 2""",315 lbs.,,Southpaw,"Jan 26, 1970",0.83,29%,3.76,40%,3.13,57%,100%,0.8,grappler
Makwan Amirkhani,"5' 10""",145 lbs.,"72""",Southpaw,"Nov 08, 1988",1.42,44%,2.63,51%,3.37,37%,57%,1.4,submission specialist
Eryk Anders,"6' 1""",185 lbs.,"75""",Southpaw,"Apr 21, 1987",3.23,46%,4.15,51%,1.62,35%,80%,0.1,striker
Derek Anderson,"6' 0""",155 lbs.,,,"Feb 02, 1990",3.97,37%,3.08,61%,0.34,14%,60%,0.0,striker
Corey Anderson,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",4.43,46%,2.22,59%,4.89,50%,83%,0.0,grappler
Megan Anderson,"6' 0""",145 lbs.,"72""",Orthodox,"Feb 11, 1990",1.76,46%,3.35,37%,0.52,25%,53%,0.5,striker
Viscardi Andrade,"5' 11""",170 lbs.,"75""",Orthodox,"Mar 08, 1984",3.26,42%,2.77,63%,1.93,50%,66%,0.3,striker
Jessica Andrade,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991",6.38,49%,5.26,53%,3.11,57%,76%,0.4,striker
Reese Andy,"6' 0""",205 lbs.,,Orthodox,"Mar 31, 1973",2.87,50%,3.50,58%,0.67,20%,40%,0.0,striker
Dylan Andrews,"6' 1""",185 lbs.,"74""",Switch,"Nov 15, 1979",2.21,50%,2.72,46%,2.83,50%,57%,0.4,grappler
Julius Anglickas,"6' 3""",205 lbs.,,Orthodox,"Jul 23, 1991",4.62,78%,1.86,50%,4.47,50%,60%,1.1,submission specialist
Collin Anglin,"5' 9""",145 lbs.,"71""",Orthodox,"Feb 20, 1993",5.87,55%,3.47,58%,3.00,75%,100%,0.0,striker
Magomed Ankalaev,"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992",3.41,53%,1.78,65%,1.18,33%,85%,0.0,striker
Nina Ansaroff,"5' 5""",115 lbs.,"64""",Orthodox,"Dec 03, 1985",4.81,47%,3.55,54%,0.29,40%,77%,0.6,striker
Gadzhimurad Antigulov,"5' 11""",205 lbs.,"70""",Orthodox,"Feb 09, 1987",2.08,55%,4.21,40%,5.08,36%,0%,1.4,submission specialist
Azunna Anyanwu,"6' 1""",251 lbs.,,Orthodox,"Aug 05, 1981",2.47,42%,2.47,69%,0.65,100%,0%,0.0,striker
Shinsho Anzai,"5' 7""",170 lbs.,"70""",Orthodox,"Dec 01, 1985",3.23,58%,3.75,45%,1.83,16%,75%,0.0,striker
Romie Aram,"5' 10""",170 lbs.,,Orthodox,"Dec 02, 1977",1.80,35%,2.83,50%,2.50,62%,83%,0.0,grappler
Shinya Aoki,"5' 11""",154 lbs.,,Southpaw,"May 09, 1983",0.97,58%,1.25,58%,2.54,41%,60%,4.0,submission specialist
Igor Araujo,"6' 1""",170 lbs.,"77""",Orthodox,"Dec 06, 1980",1.52,42%,2.86,49%,0.86,15%,22%,0.6,striker
Felipe Arantes,"5' 8""",135 lbs.,"73""",Orthodox,"Feb 09, 1988",2.37,45%,2.66,64%,0.93,47%,41%,0.7,striker
Julio Arce,"5' 7""",145 lbs.,"70""",Southpaw,"Oct 27, 1989",4.25,36%,2.87,67%,0.58,30%,93%,0.6,striker
Viviane Araujo,"5' 4""",125 lbs.,"68""",Orthodox,"Nov 21, 1986",4.97,48%,4.84,60%,2.33,64%,94%,0.2,striker
Andrei Arlovski,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",3.48,44%,2.83,57%,0.47,36%,78%,0.3,striker
Akbarh Arreola,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983",2.32,45%,4.01,56%,1.07,100%,33%,0.4,striker
Ricardo Arona,"5' 11""",205 lbs.,,Orthodox,"Jul 17, 1978",1.66,48%,1.15,57%,2.41,48%,58%,1.2,submission specialist
Chalid Arrab,"5' 11""",205 lbs.,,Orthodox,"May 28, 1975",1.56,34%,1.63,56%,3.05,75%,37%,1.0,submission specialist
Austin Arnett,"6' 0""",145 lbs.,"72""",Orthodox,"Oct 22, 1991",4.52,41%,6.38,62%,0.44,18%,57%,0.2,striker
Matt Arroyo,"5' 10""",170 lbs.,"72""",Orthodox,"Sep 01, 1982",1.62,47%,2.01,58%,2.12,36%,100%,5.3,submission specialist
Antonio Arroyo,"6' 3""",185 lbs.,"73""",Orthodox,"Jul 01, 1989",3.08,70%,1.72,44%,1.40,41%,32%,0.3,striker
Cesar Arzamendia,"5' 11""",155 lbs.,,Orthodox,"Jan 31, 1991",5.37,45%,5.20,56%,7.32,75%,0%,2.4,submission specialist
Askar Askarov,"5' 6""",125 lbs.,"67""",Orthodox,"Oct 09, 1992",3.37,55%,2.65,56%,2.75,28%,64%,0.0,striker
Cyril Asker,"6' 0""",247 lbs.,"74""",Orthodox,"Dec 24, 1985",3.35,39%,5.82,35%,4.41,62%,100%,0.9,grappler
Scott Askham,"6' 3""",185 lbs.,"75""",Southpaw,"May 20, 1988",3.03,46%,3.52,52%,0.44,18%,65%,0.7,striker
Ben Askren,"5' 11""",170 lbs.,"73""",Orthodox,"Jul 18, 1984",3.64,49%,5.66,36%,4.33,55%,0%,0.9,grappler
Tom Aspinall,"6' 5""",256 lbs.,"78""",Orthodox,"Apr 11, 1993",7.43,66%,3.06,65%,3.54,100%,0%,1.8,submission specialist
Bruno Assis,"6' 2""",185 lbs.,,Orthodox,"May 23, 1992",1.27,43%,3.20,36%,2.00,50%,66%,1.0,submission specialist
Junior Assuncao,"5' 9""",145 lbs.,"72""",Orthodox,"Jun 24, 1981",3.31,62%,2.06,44%,2.43,24%,66%,0.7,striker
Raphael Assuncao,"5' 5""",135 lbs.,"66""",Orthodox,"Jul 19, 1982",3.26,40%,2.33,68%,1.48,38%,80%,0.3,striker
Bazigit Atajev,"6' 1""",230 lbs.,,Orthodox,,0.87,41%,3.14,49%,1.00,33%,0%,0.0,grappler
Rich Attonito,"5' 10""",170 lbs.,"72""",Orthodox,"Jun 16, 1977",2.28,47%,2.13,59%,0.74,37%,75%,0.0,striker
Pat Audinwood,"6' 0""",155 lbs.,,Orthodox,"Apr 16, 1986",1.17,12%,4.31,41%,0.80,50%,0%,0.0,striker
Olivier Aubin-Mercier,"5' 9""",155 lbs.,"70""",Southpaw,"Feb 23, 1989",2.48,51%,2.97,55%,2.36,33%,70%,0.5,striker
Marcus Aurelio,"5' 10""",155 lbs.,"74""",Orthodox,"Aug 18, 1973",1.42,33%,2.27,59%,1.69,27%,27%,1.3,submission specialist
Blas Avena,"6' 0""",170 lbs.,"74""",Orthodox,"Jun 30, 1983",2.34,47%,3.36,43%,2.37,80%,50%,1.8,submission specialist
Julia Avila,"5' 7""",135 lbs.,"68""",Orthodox,"May 11, 1988",3.10,41%,2.90,54%,0.49,50%,60%,0.0,striker
Saad Awad,"5' 11""",155 lbs.,,,"Jun 07, 1983",2.13,26%,1.87,60%,0.50,16%,100%,0.5,striker
Abu Azaitar,"5' 9""",185 lbs.,"76""",Orthodox,"Mar 10, 1986",3.20,37%,1.27,57%,1.00,100%,25%,0.0,striker
Luiz Azeredo,"5' 9""",154 lbs.,,Orthodox,"Jun 10, 1976",2.16,39%,2.76,57%,1.07,50%,45%,0.3,striker
Luciano Azevedo,"6' 3""",161 lbs.,,Orthodox,"Jun 25, 1981",0.76,45%,1.97,27%,2.28,11%,0%,0.0,grappler
Hunter Azure,"5' 8""",145 lbs.,"69""",Orthodox,"Mar 02, 1992",4.17,52%,1.99,62%,2.52,45%,76%,1.4,submission specialist
Niklas Backstrom,"6' 1""",145 lbs.,,Orthodox,"Aug 22, 1989",1.12,41%,3.65,40%,2.92,80%,72%,2.2,submission specialist
Izabela Badurek,"5' 5""",115 lbs.,,Orthodox,"Jul 11, 1991",3.74,71%,4.90,32%,1.75,12%,100%,0.0,striker
Miguel Baeza,"6' 2""",170 lbs.,"74""",Orthodox,"Aug 23, 1992",4.64,55%,3.89,50%,0.80,40%,100%,1.2,submission specialist
Ali Bagautinov,"5' 4""",125 lbs.,"65""",Orthodox,"Jun 10, 1985",2.85,42%,3.09,52%,2.51,36%,65%,0.3,striker
Seth Baczynski,"6' 3""",170 lbs.,"75""",Orthodox,"Oct 26, 1981",3.08,31%,3.14,51%,0.89,16%,48%,0.8,striker
Ryan Bader,"6' 2""",205 lbs.,"74""",Orthodox,"Jun 07, 1983",2.82,43%,1.39,71%,3.37,44%,80%,0.4,grappler
Siyar Bahadurzada,"5' 11""",170 lbs.,"73""",Orthodox,"Apr 17, 1984",2.91,40%,3.23,49%,1.32,61%,62%,0.3,striker
Bryan Baker,"6' 3""",185 lbs.,,Orthodox,"Oct 13, 1985",1.78,52%,2.83,45%,0.44,50%,37%,0.9,striker
Oluwale Bamgbose,"5' 11""",185 lbs.,"78""",Switch,"Aug 04, 1987",2.45,48%,2.70,55%,0.94,33%,37%,0.0,striker
Shamar Bailey,"5' 9""",155 lbs.,"75""",Southpaw,"Sep 22, 1982",1.56,20%,3.91,69%,1.50,33%,37%,0.0,striker
Humberto Bandenay,"5' 11""",145 lbs.,"71""",Southpaw,"Sep 04, 1994",2.22,41%,4.79,41%,2.90,46%,62%,0.5,grappler
Tae Hyun Bang,"5' 9""",155 lbs.,"71""",Switch,"Apr 15, 1983",2.72,38%,2.07,66%,0.49,33%,57%,0.5,striker
Maycee Barber,"5' 5""",125 lbs.,"65""",Switch,"May 18, 1998",5.21,52%,3.00,50%,1.44,40%,80%,0.2,striker
Antonio Banuelos,"5' 5""",135 lbs.,"63""",Orthodox,"Sep 23, 1979",2.69,33%,3.15,58%,1.62,62%,86%,0.4,striker
Bryan Barberena,"6' 0""",170 lbs.,"72""",Southpaw,"May 03, 1989",5.48,48%,4.70,45%,0.23,28%,60%,0.5,striker
Renan Barao,"5' 6""",145 lbs.,"70""",Orthodox,"Jan 31, 1987",3.78,36%,3.90,57%,1.49,41%,91%,0.5,striker
Edson Barboza,"5' 11""",145 lbs.,"75""",Orthodox,"Jan 21, 1986",3.98,43%,4.03,60%,0.44,44%,78%,0.1,striker
Nick Barnes,"5' 11""",170 lbs.,,,,2.86,29%,8.93,51%,5.36,100%,100%,5.4,submission specialist
Raoni Barcelos,"5' 7""",135 lbs.,"67""",Orthodox,"May 01, 1987",5.59,52%,4.17,67%,2.23,56%,85%,0.7,striker
Luke Barnatt,"6' 6""",185 lbs.,"77""",Orthodox,"Apr 13, 1988",4.43,36%,3.87,59%,0.63,42%,63%,0.4,striker
Phil Baroni,"5' 9""",170 lbs.,"72""",Orthodox,"Apr 16, 1976",2.77,45%,3.93,40%,1.46,47%,60%,0.5,striker
Josh Barnett,"6' 3""",250 lbs.,"78""",Orthodox,"Nov 10, 1977",3.20,50%,2.11,57%,1.26,55%,55%,1.4,submission specialist
Dan Barrera,"5' 9""",170 lbs.,,Orthodox,"Dec 23, 1980",0.80,70%,1.20,28%,1.00,8%,0%,0.0,grappler
Peter Barrett,"5' 10""",145 lbs.,"73""",Southpaw,"Aug 10, 1986",4.18,61%,4.32,42%,1.39,22%,66%,0.0,striker
Marc-Andre Barriault,"6' 1""",185 lbs.,"74""",Orthodox,"Feb 18, 1990",4.25,46%,4.12,57%,0.55,28%,69%,0.0,striker
Alexandre Barros,"5' 9""",170 lbs.,,Southpaw,"Nov 19, 1976",0.98,40%,4.05,36%,1.84,50%,100%,0.0,grappler
Francimar Barroso,"6' 1""",205 lbs.,"75""",Orthodox,"Feb 28, 1980",2.77,52%,3.07,59%,2.22,24%,83%,0.0,striker
Enrique Barzola,"5' 7""",145 lbs.,"70""",Orthodox,"Apr 28, 1989",3.91,41%,2.97,68%,4.20,45%,66%,0.3,grappler
Shayna Baszler,"5' 7""",135 lbs.,,Orthodox,"Aug 08, 1980",2.49,30%,6.36,51%,0.67,18%,44%,1.3,submission specialist
Mario Bautista,"5' 9""",135 lbs.,"69""",Switch,"Jul 01, 1993",5.71,45%,4.78,54%,0.48,33%,70%,0.0,striker
Chris Beal,"5' 7""",125 lbs.,"69""",Orthodox,"Aug 06, 1985",3.45,35%,3.18,61%,1.60,58%,78%,0.2,striker
Jeff Bedard,"5' 6""",145 lbs.,,Orthodox,"Feb 06, 1970",0.80,51%,0.00,100%,3.43,66%,100%,2.6,submission specialist
Lyle Beerbohm,"5' 10""",155 lbs.,,Southpaw,"Feb 05, 1979",1.98,55%,1.61,54%,2.10,23%,64%,0.3,grappler
Chase Beebe,"5' 7""",135 lbs.,"67""",Orthodox,"Mar 29, 1985",2.17,38%,1.64,69%,2.49,42%,41%,0.9,grappler
Johnny Bedford,"5' 10""",135 lbs.,"71""",Orthodox,"Jan 06, 1983",4.53,50%,1.75,63%,1.83,62%,62%,0.0,striker
Mirsad Bektic,"5' 8""",145 lbs.,"70""",Orthodox,"Feb 16, 1991",2.43,41%,1.80,57%,3.98,52%,92%,0.4,grappler
Diana Belbita,"5' 7""",125 lbs.,"68""",Orthodox,"Jun 26, 1996",5.81,39%,6.49,52%,1.69,66%,64%,0.0,striker
Alan Belcher,"6' 2""",185 lbs.,"75""",Orthodox,"Apr 24, 1984",2.70,41%,3.10,59%,0.44,26%,55%,0.9,striker
Danilo Belluardo,"6' 0""",155 lbs.,"74""",Southpaw,"Jul 21, 1994",1.52,61%,4.79,41%,3.50,100%,50%,0.0,grappler
Vitor Belfort,"6' 0""",185 lbs.,"74""",Southpaw,"Apr 01, 1977",1.59,46%,2.83,50%,1.02,60%,53%,0.6,striker
Joey Beltran,"6' 1""",185 lbs.,"75""",Orthodox,"Dec 08, 1981",4.92,36%,5.27,54%,0.48,18%,75%,0.0,striker
Marco Beltran,"5' 8""",125 lbs.,"69""",Orthodox,"May 18, 1986",2.07,37%,1.93,63%,0.70,50%,46%,0.2,striker
Joseph Benavidez,"5' 4""",125 lbs.,"65""",Southpaw,"Jul 31, 1984",3.52,34%,2.67,61%,1.41,30%,62%,0.6,striker
Gabriel Benitez,"5' 8""",155 lbs.,"71""",Southpaw,"Jun 15, 1988",4.38,38%,3.26,70%,0.17,50%,56%,1.2,submission specialist
Josh Bennett,"6' 4""",259 lbs.,,Orthodox,,2.90,40%,5.80,43%,1.50,100%,100%,0.0,striker
Charles Bennett,"5' 8""",155 lbs.,,Orthodox,"Nov 23, 1979",1.39,39%,1.35,64%,2.02,100%,36%,2.0,submission specialist
Lance Benoist,"5' 11""",170 lbs.,"72""",Southpaw,"Aug 26, 1988",3.68,51%,2.70,56%,1.50,33%,61%,0.0,striker
Ryan Benoit,"5' 5""",125 lbs.,"68""",Orthodox,"Aug 25, 1989",2.95,41%,3.40,60%,0.33,25%,70%,0.5,striker
Steve Berger,"5' 11""",170 lbs.,,Orthodox,"May 20, 1973",1.00,27%,3.26,36%,0.84,40%,16%,1.7,submission specialist
Bret Bergmark,"5' 9""",170 lbs.,,,"Nov 24, 1973",2.78,52%,2.78,37%,4.17,100%,50%,4.2,submission specialist
Keith Berish,"6' 0""",205 lbs.,,Orthodox,"Nov 14, 1985",3.58,36%,4.81,62%,1.76,40%,0%,0.0,striker
Dennis Bermudez,"5' 6""",155 lbs.,"66""",Orthodox,"Dec 13, 1986",4.42,46%,3.07,59%,3.89,40%,82%,1.1,submission specialist
Talita Bernardo,"5' 4""",135 lbs.,"68""",Orthodox,"Mar 04, 1987",3.12,42%,4.04,55%,1.62,22%,28%,0.5,striker
Manny Bermudez,"5' 10""",145 lbs.,"71""",Orthodox,"Jul 16, 1994",2.92,61%,2.68,46%,3.06,54%,0%,3.1,submission specialist
Edson Berto,"5' 6""",155 lbs.,,Orthodox,"Jul 05, 1983",1.76,36%,4.62,47%,5.47,40%,0%,2.7,submission specialist
Allen Berube,"5' 8""",155 lbs.,,Orthodox,"Aug 25, 1974",0.92,80%,0.92,33%,6.87,100%,0%,3.4,submission specialist
Anton Berzin,"6' 2""",205 lbs.,,Orthodox,"Sep 29, 1989",4.40,46%,6.80,67%,2.00,28%,0%,1.0,submission specialist
Matt Bessette,"5' 10""",145 lbs.,"70""",Orthodox,"Dec 28, 1984",4.36,41%,4.45,58%,0.64,28%,61%,0.3,striker
Arjan Bhullar,"6' 1""",245 lbs.,"75""",Orthodox,"May 13, 1986",2.33,56%,3.25,59%,1.73,75%,100%,0.0,striker
Bibulatov Magomed,"5' 5""",125 lbs.,"65""",Orthodox,"Aug 22, 1988",3.60,51%,1.83,52%,2.85,40%,75%,0.0,striker
David Bielkheden,"5' 10""",155 lbs.,"71""",Orthodox,"Jun 06, 1979",1.11,57%,1.64,54%,2.65,63%,14%,0.0,grappler
Anthony Birchak,"5' 8""",135 lbs.,"69""",Orthodox,"May 16, 1986",4.23,36%,3.06,60%,0.60,16%,73%,0.0,striker
Michael Bisping,"6' 1""",185 lbs.,"75""",Orthodox,"Feb 28, 1979",4.33,38%,2.71,65%,1.05,43%,63%,0.3,striker
Jan Blachowicz,"6' 2""",205 lbs.,"78""",Orthodox,"Feb 24, 1983",3.59,49%,2.79,53%,1.18,53%,65%,0.2,striker
Jason Black,"5' 8""",155 lbs.,,Orthodox,"Jul 15, 1972",1.06,47%,2.60,45%,0.48,33%,28%,6.2,submission specialist
Brad Blackburn,"5' 10""",170 lbs.,"73""",Orthodox,"May 25, 1977",4.55,35%,3.59,65%,0.93,50%,76%,0.7,striker
Maximo Blanco,"5' 8""",145 lbs.,"71""",Orthodox,"Oct 16, 1983",4.11,44%,3.19,66%,1.85,36%,63%,0.3,striker
Sherrard Blackledge,"5' 11""",155 lbs.,"75""",Orthodox,"Aug 16, 1993",3.70,49%,3.13,55%,4.00,33%,42%,0.0,grappler
Curtis Blaydes,"6' 4""",265 lbs.,"80""",Orthodox,"Feb 18, 1991",3.59,53%,1.70,57%,6.64,54%,33%,0.0,grappler
Dan Bobish,"6' 2""",345 lbs.,,Southpaw,"Jan 26, 1970",2.06,44%,1.74,34%,2.44,42%,0%,1.6,submission specialist
Kyle Bochniak,"5' 7""",145 lbs.,"70""",Orthodox,"Feb 05, 1987",2.63,31%,5.11,58%,1.14,15%,62%,0.0,striker
Mark Bocek,"5' 8""",155 lbs.,"75""",Orthodox,"Oct 24, 1981",2.34,43%,2.32,60%,3.65,36%,31%,1.3,submission specialist
Galore Bofando,"5' 11""",170 lbs.,"72""",Switch,"May 22, 1982",3.63,45%,3.63,54%,2.37,100%,50%,0.0,striker
Tim Boetsch,"6' 0""",185 lbs.,"74""",Orthodox,"Jan 28, 1981",2.93,50%,2.90,57%,1.45,34%,59%,0.8,striker
Roman Bogatov,"5' 8""",155 lbs.,"73""",Orthodox,"Dec 15, 1990",3.33,42%,4.40,44%,1.00,9%,50%,0.0,striker
Jesse Bongfeldt,"6' 0""",185 lbs.,,Orthodox,"Aug 28, 1980",2.91,62%,1.01,50%,1.51,33%,33%,0.0,striker
Rogerio Bontorin,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 25, 1992",2.19,50%,3.12,38%,1.90,40%,51%,1.6,submission specialist
Stephan Bonnar,"6' 4""",205 lbs.,"79""",Orthodox,"Apr 04, 1977",2.76,38%,3.01,52%,1.32,40%,60%,1.0,submission specialist
Ray Borg,"5' 4""",135 lbs.,"63""",Orthodox,"Aug 04, 1993",1.52,52%,1.93,48%,3.89,50%,46%,1.0,submission specialist
Steve Bosse,"5' 11""",205 lbs.,"72""",Orthodox,"Jul 29, 1981",5.99,52%,5.38,50%,0.92,33%,100%,0.0,striker
Poliana Botelho,"5' 8""",115 lbs.,"67""",Orthodox,"Dec 15, 1988",3.00,56%,3.08,50%,0.89,100%,80%,0.0,striker
Brian Bowles,"5' 7""",135 lbs.,"70""",Orthodox,"Jun 22, 1980",2.36,26%,2.98,64%,1.39,70%,54%,1.4,submission specialist
Roger Bowling,"5' 9""",155 lbs.,"68""",Orthodox,"Dec 05, 1982",3.90,47%,3.86,51%,3.09,43%,27%,0.9,striker
Colley  Bradford,"5' 7""",145 lbs.,,,,0.43,25%,1.73,50%,19.42,50%,100%,0.0,grappler
Kyle Bradley,"5' 9""",155 lbs.,"71""",Orthodox,"Aug 19, 1982",1.99,40%,3.45,58%,0.65,50%,40%,0.0,striker
Paul Bradley,"5' 9""",170 lbs.,,Orthodox,"Jun 13, 1983",2.26,32%,4.13,56%,1.12,16%,100%,0.0,striker
